,Explainable method Name,Sparsity,Complexity,Faithfulness,Monotonicity,MaxSensitivity,LocalLipschitzEstimate,Relative Output Stability,ModelParameterRadomisation
0,Saliency,0.30438880374949867,4.735276779848757,0.017025311147529577,0.27370640443764954,1.4745825523604745,5.175565478964289,11.378172967712654,0.617633942724627
1,InputXGradient,0.8694441082158074,3.0422227502915513,0.7976203396071122,0.5386180418757045,0.7231991454762209,2.543471362311613,19.80740641482546,0.993454892867542
2,IntegratedGradients,0.869278561881575,3.04286352332577,0.7956955920551775,0.538195977448122,0.654476320142561,2.1639636970727385,27.255506871930564,0.9939802404129477
3,DeepLift,0.8693145645115726,3.042721013568725,0.7960525441630385,0.5386343610660631,0.6275883504718232,2.073017034749173,27.112575193355365,0.9939501338930978
4,KernelShap,0.4735196066441382,4.463302757529392,0.11999379856038178,0.014658178420735923,0.837876365032063,2.7387919855664635,22.323412398989763,0.02055378890797894
5,Occlusion,0.8923241691811638,2.7730106489399073,0.9176124042840736,0.5493312414897565,0.6052283985609204,2.068667755239157,15.448891989088015,0.9293517746304012
6,GradientShap,0.869285638393569,3.0428575411524696,0.7957627032260381,0.5382688728948288,0.728550414163792,2.4833531983870083,28.303460428404858,0.9939331522185438
