,mean,std
ModelParameterRadomisation,,
MaxSensitivity,0.5457120016217232,0.12150631073943206
Relative Output Stability,719752.3597536548,507580.8343696113
Monotonicity,0.02,0.0
Faithfulness,0.36513645183695487,0.2998199124829197
LocalLipschitzEstimate,1.1052161992181277,0.24231139497082374
Sparsity,0.7045027134401609,0.05973531646848774
Complexity,2.37439048061809,0.15446514280631918
