,mean,std
ModelParameterRadomisation,0.9996386233522405,0.00013778770720482682
MaxSensitivity,0.4062313884496689,0.061715106076802556
Relative Output Stability,568061.1617325004,608500.8678393913
Monotonicity,0.02,0.0
Faithfulness,0.5145211097188761,0.39459364912961875
LocalLipschitzEstimate,0.8533743853676451,0.12004109296957624
Sparsity,0.8733829726089091,0.04336945118615623
Complexity,1.4204090644678546,0.34741446185938435
