,mean,std
Sparsity,0.5913636263152926,0.1225206013347756
Complexity,2.6359424446828155,0.2980622732501657
Faithfulness,0.4149441392274468,0.14122190281818608
Monotonicity,0.02,0.0
MaxSensitivity,0.6080537028610706,0.08915229157675374
LocalLipschitzEstimate,1.2233565048342883,0.16499081297702042
Relative Output Stability,11.614087043209873,1.4288156745542795
ModelParameterRadomisation,0.9851422683446637,0.0052673001410603664
